battlerope alternating vertical wave, alexis_battlerope_alternating_vertical_wave, Maintain Quarter Squat^n^nBack Flat^n^nHips Back^n^nAlternate Arms Quickly Up & Down, Battlerope
bodyweight box jump, alexis_bodyweight_box_jump, Squat to Load Jump^n^nSwing Arms Upward^n^nJump as High as Possible^n^nDrive Knees Up, no entry
